text,intent,Unnamed: 2
Can you hear me? Can nurse apply the prescribed drops in my ear kindly help.,nurse_request,
Can you hear me? Can someone adjust the curtain for privacy,nurse_request,
Can you hear me? Can someone adjust the monitor settings the alarm keeps going off I would really appreciate it.,nurse_request,
Can you hear me? Can someone apply moisturizer on my dry skin,nurse_request,
Can you hear me? Can someone change my wound dressing it is soaked through,nurse_request,
Can you hear me? Can someone check my blood sugar levels at the earliest please.,nurse_request,
Can you hear me? Can someone come monitor my heart rate for a bit,nurse_request,
Can you hear me? Can someone hand me the TV remote I cannot reach it as soon as possible.,nurse_request,
Can you hear me? Can someone help me get to the weighing scale,nurse_request,
Can you hear me? Can someone help me shift to the center of the bed,nurse_request,
Can you hear me? Can someone help me take a sponge bath as soon as possible.,nurse_request,
Can you hear me? Can someone help me with my oxygen mask strap is that possible?,nurse_request,
Can you hear me? Can someone lower the side rails so I can sit up I would really appreciate it.,nurse_request,
Can you hear me? Can someone put the cooling gel on my swollen ankle at the earliest please.,nurse_request,
Can you hear me? Can someone verify my pulse it seems irregular thank you,nurse_request,
Can you hear me? Can the duty nurse please come as soon as possible.,nurse_request,
Can you hear me? Can the nurse bring an extra pillow,nurse_request,
Can you hear me? Can the nurse bring me a neck pillow,nurse_request,
Can you hear me? Can the nurse bring me some ice chips as soon as possible.,nurse_request,
Can you hear me? Can the nurse change my IV bag it is empty kindly help.,nurse_request,
Can you hear me? Can the nurse check if my wound is healing properly this is urgent.,nurse_request,
Can you hear me? Can the nurse check my sugar levels before dinner I would really appreciate it.,nurse_request,
Can you hear me? Can the nurse come recheck my sugar levels thank you so much,nurse_request,
Can you hear me? Can the nurse help me put on my surgical stockings kindly help.,nurse_request,
Can you hear me? Can the nurse help me with my leg brace,nurse_request,
Can you hear me? I am feeling homesick can someone come by,nurse_request,
Can you hear me? I am feeling homesick can someone come by please,nurse_request,
Can you hear me? I am feeling very alone can a nurse come sit with me thank you,nurse_request,
Can you hear me? I am scared can someone come and be with me,nurse_request,
Can you hear me? I feel uneasy can a nurse come and check on me this is urgent.,nurse_request,
Can you hear me? I have been waiting for a nurse for a while can you help?,nurse_request,
Can you hear me? I have some pain can a nurse check on me,nurse_request,
Can you hear me? I need a bedpan please can you help?,nurse_request,
Can you hear me? I need help getting back into bed from the chair,nurse_request,
Can you hear me? I need help reaching the water on the side table I would really appreciate it.,nurse_request,
Can you hear me? I need my burn dressing replaced please thank you,nurse_request,
Can you hear me? I need someone to adjust the TV angle kindly help.,nurse_request,
Can you hear me? I need someone to adjust the TV angle this is urgent.,nurse_request,
Can you hear me? I need support to walk to the door and back,nurse_request,
Can you hear me? I need the burn cream reapplied please,nurse_request,
Can you hear me? I need the burn cream reapplied please this is urgent.,nurse_request,
Can you hear me? I need the curtain closed please,nurse_request,
Can you hear me? I need the medicated lotion applied on my back I would really appreciate it.,nurse_request,
Can you hear me? I need the nurse to clean my wound,nurse_request,
Can you hear me? I need the nurse to help me with my prosthetic this is urgent.,nurse_request,
Can you hear me? I need the tissue box moved closer please,nurse_request,
Can you hear me? I need the tissue box moved closer please as soon as possible.,nurse_request,
Can you hear me? I pressed the call bell but no one came please,nurse_request,
Can you hear me? My drip has stopped flowing please come thank you,nurse_request,
Can you hear me? My glasses are on the table can nurse hand them to me kindly help.,nurse_request,
Can you hear me? My heart rate feels fast can nurse check,nurse_request,
Can you hear me? My incision site is itching can nurse take a look thank you so much,nurse_request,
Can you hear me? My pain level is increasing can someone come thank you so much,nurse_request,
Can you hear me? My stomach is hurting can a nurse come check I would really appreciate it.,nurse_request,
Can you hear me? My water jug is empty can nurse refill it I would really appreciate it.,nurse_request,
Can you hear me? My wound is hurting a little can nurse see,nurse_request,
Can you hear me? Please check my pulse it feels weird,nurse_request,
Can you hear me? Please help me stand I have been sitting too long,nurse_request,
Can you hear me? Please lower the head of the bed I feel dizzy sitting up I would really appreciate it.,nurse_request,
Can you hear me? Please open the curtain I would like some daylight as soon as possible.,nurse_request,
Can you hear me? The alarm on my machine keeps going off thank you so much,nurse_request,
Can you hear me? The bandage on my hand is coming off I would really appreciate it.,nurse_request,
Can you hear me? The bandage on my hand is coming off thank you,nurse_request,
Can you hear me? The drip rate seems too slow can nurse check thank you,nurse_request,
Can you hear me? The machine next to me is making a loud noise can someone help?,nurse_request,
Can you hear me? The suction machine is not working can nurse check,nurse_request,
Can you hear me? The tape on my dressing is peeling off can you help?,nurse_request,
Can you hear me? The thermometer is not reading properly can nurse bring another thank you,nurse_request,
Can you hear me? The trash bin is full can someone empty it,nurse_request,
Can you hear me? The wound site is looking red can nurse check at the earliest please.,nurse_request,
Can you send the nursing staff please,nurse_request,
Excuse me Can a nurse come the IV alarm is going off,nurse_request,
Excuse me Can nurse apply the prescribed drops in my ear please,nurse_request,
Excuse me Can nurse bring me a pen and paper,nurse_request,
Excuse me Can nurse come check the ECG leads they feel loose thank you,nurse_request,
Excuse me Can nurse come reset the infusion pump alarm as soon as possible.,nurse_request,
Excuse me Can nurse come reset the infusion pump alarm thank you so much,nurse_request,
Excuse me Can nurse help apply the cream the doctor prescribed,nurse_request,
Excuse me Can nurse put the antiseptic on my cut at the earliest please.,nurse_request,
Excuse me Can nurse put the antiseptic on my cut thank you so much,nurse_request,
Excuse me Can nurse put the antiseptic on my cut this is urgent.,nurse_request,
Excuse me Can someone apply moisturizer on my dry skin is that possible?,nurse_request,
Excuse me Can someone bring me a straw for my water,nurse_request,
Excuse me Can someone bring me my muscle relaxant,nurse_request,
Excuse me Can someone come check my vitals I do not feel right,nurse_request,
Excuse me Can someone come the heart monitor is beeping,nurse_request,
Excuse me Can someone give me something for the cramps as soon as possible.,nurse_request,
Excuse me Can someone help me stand up from the bed please help.,nurse_request,
Excuse me Can someone help me with oral care,nurse_request,
Excuse me Can someone move the bedside table closer to me,nurse_request,
Excuse me Can someone pull the curtain around my bed,nurse_request,
Excuse me Can someone verify my pulse it seems irregular thank you so much,nurse_request,
Excuse me Can the nurse accompany me to the restroom can you help?,nurse_request,
Excuse me Can the nurse apply the steroid cream on my eczema,nurse_request,
Excuse me Can the nurse bring me a neck pillow kindly help.,nurse_request,
Excuse me Can the nurse bring my next dose of painkiller please,nurse_request,
Excuse me Can the nurse bring the portable commode is that possible?,nurse_request,
Excuse me Can the nurse give me my scheduled medication,nurse_request,
Excuse me Can the nurse hand me my phone from the drawer,nurse_request,
Excuse me Can the nurse hand me my phone from the drawer kindly help.,nurse_request,
Excuse me Can the nurse help me put on my surgical stockings,nurse_request,
Excuse me I am in a lot of discomfort please send nurse can someone help?,nurse_request,
Excuse me I dropped something on the floor can nurse pick it up,nurse_request,
Excuse me I feel dizzy can someone check my blood pressure,nurse_request,
Excuse me I feel moderate pain can someone come please help.,nurse_request,
Excuse me I feel restless and cannot relax can someone help is that possible?,nurse_request,
Excuse me I keep sliding down the bed can nurse reposition me,nurse_request,
Excuse me I need a bedpan please,nurse_request,
Excuse me I need another pillow for under my knees please,nurse_request,
Excuse me I need antibiotic cream applied on my wound thank you so much,nurse_request,
Excuse me I need help adjusting my arm sling,nurse_request,
Excuse me I need help changing into clean clothes thank you so much,nurse_request,
Excuse me I need help cleaning up after using the bedpan,nurse_request,
Excuse me I need help opening this medicine bottle thank you so much,nurse_request,
Excuse me I need my blood pressure checked please,nurse_request,
Excuse me I need my pain medicine please at the earliest please.,nurse_request,
Excuse me I need my pain medicine please can someone help?,nurse_request,
Excuse me I need nursing assistance thank you so much,nurse_request,
Excuse me I need support to walk to the door and back thank you,nurse_request,
Excuse me I need the burn cream reapplied please,nurse_request,
Excuse me I need the nurse to administer my injection,nurse_request,
Excuse me I need the nurse to apply the ointment on my rash as soon as possible.,nurse_request,
Excuse me I need the nurse to help me use the bedside commode thank you,nurse_request,
Excuse me I need the tissue box moved closer please is that possible?,nurse_request,
Excuse me I need to be repositioned I have pressure sore pain thank you so much,nurse_request,
Excuse me I need to use the restroom urgently can someone help,nurse_request,
Excuse me I pressed the call bell but no one came please help.,nurse_request,
Excuse me My IV is beeping can nurse come kindly help.,nurse_request,
Excuse me My IV site is swollen can a nurse look at it kindly help.,nurse_request,
Excuse me My arm is sore where the IV is can someone look at the earliest please.,nurse_request,
Excuse me My back hurts can someone fix the bed angle please help.,nurse_request,
Excuse me My catheter is causing some pain can nurse help I would really appreciate it.,nurse_request,
Excuse me My catheter tube is kinked can someone fix it can someone help?,nurse_request,
Excuse me My glasses fell under the bed can someone get them,nurse_request,
Excuse me My heart rate feels fast can nurse check as soon as possible.,nurse_request,
Excuse me My readings on the monitor look different can nurse check thank you so much,nurse_request,
Excuse me My sheets are stained can someone change them this is urgent.,nurse_request,
Excuse me My temperature feels high can a nurse come please help.,nurse_request,
Excuse me My wrist brace is too loose can nurse tighten it this is urgent.,nurse_request,
Excuse me Painkiller time achu la sister at the earliest please.,nurse_request,
Excuse me Please bring my inhaler from the nursing station this is urgent.,nurse_request,
Excuse me Please come and take my blood pressure reading thank you,nurse_request,
Excuse me Please lower my bed a little as soon as possible.,nurse_request,
Excuse me Please raise the foot end of my bed,nurse_request,
Excuse me Please send a nurse as soon as possible,nurse_request,
Excuse me Sister please come to bed 4,nurse_request,
Excuse me The monitor is beeping can nurse come check I would really appreciate it.,nurse_request,
Excuse me The pain medication is wearing off please send nurse please,nurse_request,
Excuse me The suction machine is not working can nurse check at the earliest please.,nurse_request,
Excuse me The thermometer is not reading properly can nurse bring another as soon as possible.,nurse_request,
Hello Can I get my evening pain medication now,nurse_request,
Hello Can I get my evening pain medication now I would really appreciate it.,nurse_request,
Hello Can a nurse come I am feeling disoriented is that possible?,nurse_request,
Hello Can a nurse come the IV alarm is going off,nurse_request,
Hello Can a nurse come the IV alarm is going off thank you,nurse_request,
Hello Can nurse apply the prescribed drops in my ear this is urgent.,nurse_request,
Hello Can nurse come reset the infusion pump alarm I would really appreciate it.,nurse_request,
Hello Can nurse help me put on my support belt this is urgent.,nurse_request,
Hello Can someone adjust the curtain for privacy kindly help.,nurse_request,
Hello Can someone adjust the reading light for me kindly help.,nurse_request,
Hello Can someone bring me a straw for my water thank you so much,nurse_request,
Hello Can someone bring me a toothbrush and paste,nurse_request,
Hello Can someone bring me a warm compress,nurse_request,
Hello Can someone bring me a warm compress please help.,nurse_request,
Hello Can someone bring me a wet towel to wipe my face thank you so much,nurse_request,
Hello Can someone bring me the commode chair this is urgent.,nurse_request,
Hello Can someone bring my antibiotics it is time can you help?,nurse_request,
Hello Can someone bring my antibiotics it is time kindly help.,nurse_request,
Hello Can someone check on my roommate they look unwell,nurse_request,
Hello Can someone come I am having a panic moment this is urgent.,nurse_request,
Hello Can someone come check my vitals I do not feel right kindly help.,nurse_request,
Hello Can someone hand me the TV remote I cannot reach it kindly help.,nurse_request,
Hello Can someone help me get into a comfortable position,nurse_request,
Hello Can someone help me get out of bed to stretch,nurse_request,
Hello Can someone help me get to the weighing scale at the earliest please.,nurse_request,
Hello Can someone help me take a sponge bath this is urgent.,nurse_request,
Hello Can someone help me with my hearing aid at the earliest please.,nurse_request,
Hello Can someone take my vitals please is that possible?,nurse_request,
Hello Can someone tilt my bed up a bit this is urgent.,nurse_request,
Hello Can someone verify my pulse it seems irregular can someone help?,nurse_request,
Hello Can the charge nurse come see me please help.,nurse_request,
Hello Can the charge nurse come see me please this is urgent.,nurse_request,
Hello Can the night nurse please check on me,nurse_request,
Hello Can the nurse apply fresh dressing to my wound at the earliest please.,nurse_request,
Hello Can the nurse apply the steroid cream on my eczema,nurse_request,
Hello Can the nurse bring the portable commode,nurse_request,
Hello Can the nurse check if my oxygen is okay at the earliest please.,nurse_request,
Hello Can the nurse check my pain medication at the earliest please.,nurse_request,
Hello Can the nurse check my pain medication is that possible?,nurse_request,
Hello Can the nurse come I need some comfort,nurse_request,
Hello Can the nurse come and check my vitals,nurse_request,
Hello Can the nurse help me clean up please,nurse_request,
Hello Can the nurse help me do my walking exercise as soon as possible.,nurse_request,
Hello Can the nurse help me practice walking with crutches,nurse_request,
Hello Can the nurse help me practice walking with crutches please help.,nurse_request,
Hello Can the nurse please come and check on me,nurse_request,
Hello Can the nurse put calamine on my itchy spots at the earliest please.,nurse_request,
Hello Can the nurse put calamine on my itchy spots thank you,nurse_request,
Hello Can the nurse reapply the ointment on my sore please,nurse_request,
Hello Can the senior nurse come check on me,nurse_request,
Hello Can the senior nurse come check on me as soon as possible.,nurse_request,
Hello Can you send the nursing staff please this is urgent.,nurse_request,
Hello I am feeling anxious please send the nurse,nurse_request,
Hello I am feeling homesick can someone come by,nurse_request,
Hello I am feeling homesick can someone come by at the earliest please.,nurse_request,
Hello I am feeling nervous about the surgery can someone come can you help?,nurse_request,
Hello I am feeling overwhelmed can someone sit with me is that possible?,nurse_request,
Hello I am having trouble sleeping can a nurse come please,nurse_request,
Hello I am missing my family can a nurse come talk kindly help.,nurse_request,
Hello I dropped my book can nurse pick it up,nurse_request,
Hello I dropped my book can nurse pick it up as soon as possible.,nurse_request,
Hello I feel restless and cannot relax can someone help,nurse_request,
Hello I need a footrest or pillow for my feet,nurse_request,
Hello I need a footrest or pillow for my feet is that possible?,nurse_request,
Hello I need a fresh gown this one is soiled,nurse_request,
Hello I need a lighter blanket this one is too heavy,nurse_request,
Hello I need a lighter blanket this one is too heavy this is urgent.,nurse_request,
Hello I need antibiotic cream applied on my wound,nurse_request,
Hello I need help adjusting my arm sling,nurse_request,
Hello I need help changing into clean clothes,nurse_request,
Hello I need help cleaning up after using the bedpan please help.,nurse_request,
Hello I need help opening this medicine bottle,nurse_request,
Hello I need help putting on my glasses they fell please help.,nurse_request,
Hello I need help reaching the water on the side table thank you,nurse_request,
Hello I need help turning to the other side,nurse_request,
Hello I need help washing my face is that possible?,nurse_request,
Hello I need my blood pressure checked please can someone help?,nurse_request,
Hello I need my eye drops administered by the nurse please,nurse_request,
Hello I need my oxygen saturation checked I would really appreciate it.,nurse_request,
Hello I need petroleum jelly on my chapped lips this is urgent.,nurse_request,
Hello I need sunscreen applied before I sit by the window,nurse_request,
Hello I need sunscreen applied before I sit by the window thank you so much,nurse_request,
Hello I need the bed raised higher for eating as soon as possible.,nurse_request,
Hello I need the burn cream reapplied please is that possible?,nurse_request,
Hello I need the nurse on duty to come,nurse_request,
Hello I need the nurse on duty to come as soon as possible.,nurse_request,
Hello I need the nurse to help me use the bedside commode please,nurse_request,
Hello I need the nurse to help me with my prosthetic can someone help?,nurse_request,
Hello I need the tissue box moved closer please,nurse_request,
Hello I need to be repositioned my hip is hurting,nurse_request,
Hello I pressed the call bell but no one came I would really appreciate it.,nurse_request,
Hello I really need a nurse can someone come is that possible?,nurse_request,
Hello I think I have a fever can nurse check,nurse_request,
Hello My IV is beeping can nurse come at the earliest please.,nurse_request,
Hello My arm is sore where the IV is can someone look,nurse_request,
Hello My call button is not working can someone come is that possible?,nurse_request,
Hello My catheter is causing some pain can nurse help thank you,nurse_request,
Hello My knee is throbbing can a nurse check on it please help.,nurse_request,
Hello My nebulizer mask does not fit properly can nurse adjust is that possible?,nurse_request,
Hello My oxygen mask is fogging up can nurse help can someone help?,nurse_request,
Hello My pain has not gone down can nurse come,nurse_request,
Hello My sheets are stained can someone change them can someone help?,nurse_request,
Hello My stitches feel tight can the nurse look,nurse_request,
Hello My temperature feels high can a nurse come,nurse_request,
Hello My wound is leaking fluid can someone come please,nurse_request,
Hello Nurse anne please come here please help.,nurse_request,
Hello Please bring my inhaler from the nursing station,nurse_request,
Hello Please bring my inhaler from the nursing station this is urgent.,nurse_request,
Hello Please call the nurse I need some help thank you,nurse_request,
Hello Please help me turn onto my stomach,nurse_request,
Hello Please help me turn onto my stomach can someone help?,nurse_request,
Hello Sister yahan aaiye please,nurse_request,
Hello Sister yahan aaiye please thank you,nurse_request,
Hello The IV line seems blocked can someone check,nurse_request,
Hello The blanket is scratchy can I get a softer one,nurse_request,
Hello The blood pressure cuff is too tight can nurse fix I would really appreciate it.,nurse_request,
Hello The machine next to me is making a loud noise,nurse_request,
Hello The trash bin is full can someone empty it thank you,nurse_request,
Hello is there a nurse on this floor can someone help?,nurse_request,
Hello is there a nurse on this floor kindly help.,nurse_request,
Hi Can nurse apply the prescribed drops in my ear thank you,nurse_request,
Hi Can someone adjust the drip speed it is too fast,nurse_request,
Hi Can someone bring me my muscle relaxant,nurse_request,
Hi Can someone check my oxygen levels this is urgent.,nurse_request,
Hi Can someone come I am having a panic moment kindly help.,nurse_request,
Hi Can someone dim the lights in my room,nurse_request,
Hi Can someone help me use the restroom kindly help.,nurse_request,
Hi Can someone lower the side rails so I can sit up can you help?,nurse_request,
Hi Can someone redress the wound on my leg,nurse_request,
Hi Can someone reset the monitor alarm is that possible?,nurse_request,
Hi Can the nurse change my IV bag it is empty can someone help?,nurse_request,
Hi Can the nurse check my pain medication,nurse_request,
Hi Can the nurse come recheck my sugar levels this is urgent.,nurse_request,
Hi Can the nurse help me practice walking with crutches at the earliest please.,nurse_request,
Hi Can the nurse help me wash my hands please,nurse_request,
Hi Can the nurse reapply the ointment on my sore I would really appreciate it.,nurse_request,
Hi Can you raise the head of my bed please as soon as possible.,nurse_request,
Hi I dropped something on the floor can nurse pick it up as soon as possible.,nurse_request,
Hi I feel restless and cannot relax can someone help thank you so much,nurse_request,
Hi I feel sore all over can the nurse come,nurse_request,
Hi I feel uneasy can a nurse come and check on me I would really appreciate it.,nurse_request,
Hi I need a lighter blanket this one is too heavy I would really appreciate it.,nurse_request,
Hi I need an ice pack for my swelling can someone help?,nurse_request,
Hi I need help adjusting my arm sling please help.,nurse_request,
Hi I need help cleaning up after using the bedpan this is urgent.,nurse_request,
Hi I need help opening this medicine bottle as soon as possible.,nurse_request,
Hi I need help putting on deodorant is that possible?,nurse_request,
Hi I need my dentures cleaned can nurse help thank you,nurse_request,
Hi I need something for this headache please,nurse_request,
Hi I need sunscreen applied before I sit by the window thank you,nurse_request,
Hi I need the antifungal cream applied on my feet can you help?,nurse_request,
Hi I need the medicated lotion applied on my back please,nurse_request,
Hi I need the nurse to administer my injection,nurse_request,
Hi I need the nurse to help me use the bedside commode is that possible?,nurse_request,
Hi I need the nurse to help me with my prosthetic,nurse_request,
Hi I need the nurse to help me with my prosthetic is that possible?,nurse_request,
Hi My glasses fell under the bed can someone get them,nurse_request,
Hi My hearing aid battery is dead can nurse help please,nurse_request,
Hi My oxygen mask is fogging up can nurse help thank you,nurse_request,
Hi My surgical wound is oozing can nurse check please help.,nurse_request,
Hi My temperature feels high can a nurse come thank you,nurse_request,
Hi My wound dressing is loose please fix,nurse_request,
Hi My wrist brace is too loose can nurse tighten it I would really appreciate it.,nurse_request,
Hi Please bring my inhaler from the nursing station as soon as possible.,nurse_request,
Hi Please check my blood oxygen I feel breathless thank you so much,nurse_request,
Hi Please lower my bed a little can you help?,nurse_request,
Hi Please send a nurse as soon as possible please help.,nurse_request,
Hi Please take my temperature I feel warm,nurse_request,
Hi Sister yahan aaiye please at the earliest please.,nurse_request,
Hi The IV fluid is not dripping can someone check,nurse_request,
Hi The IV is leaking near the needle site,nurse_request,
Hi The alarm on my machine keeps going off,nurse_request,
Hi The gauze is sticking to my wound can nurse help please,nurse_request,
